urn:cts:greekLit:tlg5026.msA.hmt:1.1038.comment	διασταλτέον ευχομένης αμῦναι ἀθήνευςXἀθῆναι στιγμή ἐνδέχομαι λοιγός ἀμύνω στίζω ἄλλος ἄλλος προφέρω ἀρχή ἀθήνευςXἀθῆναι
urn:cts:greekLit:tlg5026.msA.hmt:1.1039.comment	μελαίνω ἀήρ νίφω
urn:cts:greekLit:tlg5026.msA.hmt:1.104.comment	λέγωXλέξις κωμανόν ἀεικής λοιγός όλεθρον ἀπεοικοτα ἀπεχθής ἀπρίατοςXἀπριάτην σαφής ἄνευXἄνω πρίαμαι ταὐτός δωρεά μασσααλιωτικὴ ριανοῦ χάωXχέωXἔχιςXἔχω τρόπος ἔοικα ζηνόδοτος ὅσγε πρίν λοιμός βαρύς χείρας ἀπέχωXἄφεξις
urn:cts:greekLit:tlg5026.msA.hmt:1.1040.comment	ζηνόδοτος γράφοςXγράφω φοιβος ἀπόλλων ἀφαιρέω πιθανός ἐπίτηδες ἔλλησι βοηθουντας
urn:cts:greekLit:tlg5026.msA.hmt:1.1041.comment	ζεύς παραλαμβάνω οὐρανός διοίκησις περισσόςXπερισσῶς παρρησία χράομαιXχράωXχραύω αὐθάδης διαπράσσω ποσειδῶν ἥρα ἀπόλλων ἀθηνᾶ βούλομαι δέω ὑποτάσσω θέτις ἀκούω πατήρ νιρεύς μάντις ζεύς επιβουλὴν σπεύδω ἐπάγω αἰγαίων φοβητρον ἐπιβουλεύω θέαXθεάXθεάω θαλασσιος δαίμων πατήρ ποσειδῶν καταβραβεύω ἀέκωνXἀκέωXἀκούω ζεύς θετιδος ἥρα δεσμέωXδεσμεύωXδεσμός κρεμάζωXκρεμάννυμι ποσειδῶν ἀπόλλων λαομέδων θητεία ψηφίζομαιXψηφίζω θέτις ἀχιλλεύς τιμή ταμιεύω ἱστορέω δίδυμος
urn:cts:greekLit:tlg5026.msA.hmt:1.105.comment	μελανόφθαλμος εὐπρεπής καλλίμαχος ὕδωρ μέλαςXμέλη αἰσήποι αἴσηπος χάωXχέωXἔχιςXἔχω ἑλικός ὕδωρ ἀτενής θέαXθεάω ἀξιοθέατος ἐλίσσωXἑλίσσω θέαXθεάω
urn:cts:greekLit:tlg5026.msA.hmt:1.1059.comment	διώνυμος πρότερος ὄνομα ὅμηρος θεός ἀναφέρω δεύτερος ἄνθρωπος χαλκίς κικλίσκουσι θεός ἀνήρ κύμινδις ποταμός ξανθον καλέω θεός ἀνήρ σκάμανδρος
urn:cts:greekLit:tlg5026.msA.hmt:1.106.comment	προσηγορία ἀπρίατοςXἀπριάτην ἀπρατῆ παράλληλος ἀνάποινος αμφοτέρων δηλοῦται διασταλταιον βραχύς ἀπρίατοςXἀπριάτην ἀνάποινος στικτέον χρύσηXχρύσης κοινός πρίν ἀπρίατοςXἀπριάτην ἐπιρρηματικός ἀκούω ἀπολλώνιος ἀπριαδην
urn:cts:greekLit:tlg5026.msA.hmt:1.1060.comment	ζηνοδοτος γράφοςXγράφω αὐτε βίαXβιόω φέρτατος ἀπαντάω ὁπόσος ναίω τάρταρος ευρώεντα τίτανοςXτιτάν αιγευς ἐναλλιος δαίμων σύγκρισις λαμβάνω ποσειδῶν λόγος ἔχωXἕξις
urn:cts:greekLit:tlg5026.msA.hmt:1.1061.comment	ἐντευθεν ἄρεῳς ὀρθόςXὀρθόω ζεύς κρονίων κατά-καθέζομαιXκατά-ἕζομαι κῦδος γάιοςXγαίωXγαιόω ὅμηρος στωικός ποσειδῶν φημί φημί παύροι πατήρ ἀρείωνXἄρειος
urn:cts:greekLit:tlg5026.msA.hmt:1.1062.comment	βραχύς διασταλτέον μιμνήσκω παρέζομαι κτείνω βασιλεύς ατος ἀρτάωXἀρτέομαι αἴXεἰ πως ἐθέλω κεφαλή λαμβάνω ἡγεμονικός δεξιάXδεξιάζωXδεξιός πρακτικός γονάωXγόνυ ἐπικλάζωXἐπικλάω σῶμα ἐπικλάζωXἐπικλάω σπεύδω ψυχή λόγος
urn:cts:greekLit:tlg5026.msA.hmt:1.1063.comment	ῥῆμα ἀριθμέωXἀριθμός φέρω ὀφείλω νίκηXνικάω ἐγώXἐγώγε ὀφείλω έκτωρ κτείνω όφελ' ἔκτορα λίζωXλίσσομαι καλλίμαχος ἐπίρρημα εὐκτικός ὀφέλλω μηδέ γίγνομαι θοός ναῦς
urn:cts:greekLit:tlg5026.msA.hmt:1.1064.comment	θέτις ζεύς μανθάνω αχιλλεως μένω φθια συμπλέω ἕλλην ἴλιXἴλιονXἴλιοςXἴλιοσλιος ζωήXζωός ἄδοξος σύν-ἀνέρχομαι ὁλιγοχρόνιος αοίδιμος εὐκλεής πρόοιδα θέτις παρατίθημι λυκομήδης παρθενών κόρη σκύραςXσκύρονXσκῦρος εἷς κυκλάδες
urn:cts:greekLit:tlg5026.msA.hmt:1.1065.comment	προπερισπάω πορεύω ὑπάρχωXὕπαρχος ὀξύνω
urn:cts:greekLit:tlg5026.msA.hmt:1.1066.comment	ἄκραXἄκρονXἄκρος ὀλυμπου ὑπερνεφής οὔτε νίφω οὔτε κατομβρέομαι ποιητήςXποιητός ὀλυμπόν ὅθι φημί θέαXθεάXθεάω ἔδος ἀσφαλής ἀεί έμμεναι οὔτεXοὔτιXοὔτις ἄνεμος τινάσσω οὔτε ποθήXποθιXποτέXποτήXποτόνXποτόςXπρός όμβρω δέωXδεύομαιXδεύω οὔτε χιων ἐπιπίλναμαι μάλαXμάλη αἴθρη πετάννυμι ἀνέφελος λευκός ἐπιτρέχω αἴγλη ἀγάννιφος πάνυ κατανίφω οὔτε ὅλοξXὅλος
urn:cts:greekLit:tlg5026.msA.hmt:1.1067.comment	βρέχω γράφω δίφθογγος νέφος νεφρός νίφω χιονίζω ἀγάννιφος νήφω σπένδω νηφάλιος ξύλον νήφω προσέυχω νήφωXνήφων προσεύχομαι
urn:cts:greekLit:tlg5026.msA.hmt:1.1068.comment	τυραννίων ἀξιόωXἐξιόω ὀξύνω εὖ
urn:cts:greekLit:tlg5026.msA.hmt:1.1069.comment	ὁμοῖοςXὅμοιος ἡνιοχεύς δισσός εισὶν αἰθίοψ νεῖλος ὁρίζω ϊθάκη λοιπός νῆσος γράφουσιν μέμνων αἰθίοψ ἔθνος
urn:cts:greekLit:tlg5026.msA.hmt:1.107.comment	ναόςXναῦς ἅρμα οἴκοθεν ἄγω γεραιός ἄγω μαχάων ποιμήν λαόςXλᾶας παράληψις τρόπος ίσοις ἀπαλλάσσωXἀπαλλαξείω δέομαιXδέω προἁμαρτήσαντας
urn:cts:greekLit:tlg5026.msA.hmt:1.1070.comment	λέξις ἀρισταρχου ἰλιάς ὑπόμνημα μετάXμεταί ἀμύμων αμυμονας ἄμωμος ἀγαθός δαίςXδαίτης δαίςXδαίτης ὅμηρος τίθημι ἔνιοι ποιέωXποιόω δαίςXδαίτης ὅπως αὐτόθεν χράομαιXχράωXχραύω πλείων ἄλλος ποιητήςXποιητός σοφοκλῆς ὁράω ἐξέρχομαι εὑρίσκω μασσαλιωτικῆ σινωπικήXσινωπικός κυπρίαXκύπριος ἀντιμαχίῳ ἀριστοφάνειος καλλίστρατος ἀθέτησιςXἀθετέω ὁμοιόωXὁμοῖοςXὅμοιος σιδώνιος ἰξίονXἰξίωνXἴξιος ς προς ἐξήγησις θεός ἔπονται
urn:cts:greekLit:tlg5026.msA.hmt:1.1071.comment	φημί διοσπόλει ζεύς ἱερός λαμβάνω ξόανον αἰθίοψ ἄλλος ἐγχωρέωXἐγχώριος θέαXθεάXθεάω χρόνος περινοστέω μέραXμέρος λιβύη πολυτελέωXπολυτελής ποιέω πανήγυρις δώδεκα ἡμέραXἥμερος τοσοῦτος θεός
urn:cts:greekLit:tlg5026.msA.hmt:1.108.comment	ζηνόδοτος γράφοςXγράφω αἴXεἰ γέλοιος διστακτικός μάντις
urn:cts:greekLit:tlg5026.msA.hmt:1.11.comment	μείρομαι ἀποδίδωμι ἄλλος ἐκδέχομαιXἐκδείκνυμι δρῦς ἱεράXἱερός μαντικός ζεύς δωδωναιῳ όρει θεσπροτϊας ὅμηρος ὀδύσσειαXὀδύσσειος δωδώνη φατο βαίνω ὄφρα θεός δρῦς ὑψίκομος ζεύς βουλή ἐπακούω ἄλλος ἱστοριας εἶπονXεἶπος ἐρῶ ὅμηρος φημί γαῖαXγῆ βαρέω ἄνθρωπος πολυπληθ ί ς μηδείς ἄνθρωπος εὐσέβεια αἰτέω δίονXδῖοςXζεύς κουφίζω ἄχθος δίονXδῖοςXζεύς πρότεροςXπρῶτος εὐθύς ποιέω θηβαικόςXθηβαῖος πόλεμος πάνυ ἀπόλλυμι ὕστερονXὕστερος πάλιν σύμβουλος μῶμος χράω ζεύς βουλή ὅμηρος φημί κεραυνοϊς κατακλυσμενοῖς διαφθείρω μῶμος κωλύω ὑποτίθημι θέτις θνητογαμία θυγάτηρ καλέωXκαλός γένναXγένναςXγεννάω ἀμφότερων πόλεμος ἕλλην βάρβαρος εγένετο συμβαίνω κουφίζω γαῖαXγῆ ἀναιρέω ἱστορία στασῖνος κύπριαXκύπριονXκύπριος ποιέω εἶπον μυρίος φῦλον χθών πλάζω βαρύστονος πλάτος αἶα ζεύς εἶδον ἐλεάωXἐλεέω πυκινόςXπυκνός πραπίδες συντίθημι κουφίζω παμβώτωρ γαῖης ἄνθρωπος ριπίσαι πολεμόωXπόλεμος εριν ἰλιακός ὄφρα νοέω θάνατοςXθανατόω βάρος τροία ἥρως κτείνω ζεύς ετελείετο βουλή νέοςXνεώτερος ἱστορέω ζεύς βουλήXβουλεύς φημί ἀριστάρχειος ἀριστοφάνης δοκέωXδόξα θέτις βουλή ἑξῆςXἔχω φημί λιτανεύω δίονXδῖοςXζεύς ἐκδικέω παῖς ἀτιμία καθά προοίμιον
urn:cts:greekLit:tlg5026.msA.hmt:1.1121.comment	οἶδα ἀνεμόωXἄνεμος παλίμβολος ἄλλοςXἄλλως ἰλιάς μόνος ἔχοιν ἔκπλοιαν τρόπος ἐδιδαξεν πρὸσὁρμισμοῦ
urn:cts:greekLit:tlg5026.msA.hmt:1.1122.comment	πρύμνα ἐξέχω ξυλον κλίνω ϊστός δέχω ξεινοδόκοςXξενοδόκος ἱστοδόκη
urn:cts:greekLit:tlg5026.msA.hmt:1.1123.comment	προερέσσω υ προερύω ἀργολικός σινωπικήXσινωπικός σωσιγένης
urn:cts:greekLit:tlg5026.msA.hmt:1.1124.comment	εὐνάζω ναῦ χαλάω ὕδωρ ποιέω ἵστημι τρίαXτρεῖς σημαίνω λέξις ποιτῇ κέωXκοίτη ὅταν λεγῃ μαλακός ἄγκυρα εὐνή βάλλω διατριβή όθι φημί τυφωεύς εὐνή
urn:cts:greekLit:tlg5026.msA.hmt:1.1125.comment	ῥηγμίν ἀλλαχοῦ ἑρμηνεύω χέρσοςXχερσόω ῥήγνυμι βρέμω ολίγω φράζω
urn:cts:greekLit:tlg5026.msA.hmt:1.1126.comment	ἐπίθετονXἐπίθετος ὀδυσσεύς δῖος ὀδυσσεύς πολύμητις ὀδυσσεύς καιρός σοφία ζεύς μῆτις ἀτάλαντος φημί
urn:cts:greekLit:tlg5026.msA.hmt:1.1127.comment	ἄγνυμιXἄγω κοινός γίγνομαι ἑξῆςXἔχω περισσός διὃ ἀθετέω
urn:cts:greekLit:tlg5026.msA.hmt:1.1128.comment	ζηνόδοτος συντέμνωXσυντετμημένως εἰπῶν σύXτοιXὁ ὦκα θεάωXθεός ἱεράXἱερός ἑκατόμβη ἐξίημιXἔξεστι ἵστημι ἀναγκαῖος χρυσηίς περιαιρέω
urn:cts:greekLit:tlg5026.msA.hmt:1.1129.comment	ἱεράXἱερός κλειτός ἔχω αριστάρχου
urn:cts:greekLit:tlg5026.msA.hmt:1.1130.comment	κανὰ ἐπιχέω οὐλάςXοὐλήXοὐλαί κριθή ἀντιδιαστολή ψαιστός πυράXπυράζωXπυρήXπυρόςXπυρόω εὑρίσκω προκρίνω οὐλέωXοὐλήXοὐλαί ὀνομάζω
urn:cts:greekLit:tlg5026.msA.hmt:1.1131.comment	κριθή ἅλς μεμιγμενας επέχεον ἰερουργουμένοις ζώιονXζῷον θύω πολυπλῃθείας χάρις μνήμη ποιέωXποιόω ἀρχαῖος βρῶσις φημί θεόφραστος εὕρημα πρίν μανθάνω ἄνθρωπος ἀλέω δημητριακός καρπός σῶας ἐσθίω ὁλας αυτὰς φημί ποιητής
urn:cts:greekLit:tlg5026.msA.hmt:1.116.comment	ἀμφί πίμπλημι ὑδατόωXὕδωρ μεταφορά εντοσθίων φρήν πλευρά ὑπόXὑφή ἧπαρ φρήν ἤδηXἦδος νέοςXνεώτερος μέλαιναXμέλας φρήν φημί
urn:cts:greekLit:tlg5026.msA.hmt:1.117.comment	ὄσσε κακόςXκακόω ὑπειδόμην απὸ ὄσσα φωνέωXφωνή κακολογέω χρηται ὅμηρος ψιλεύςXψιλόςXψιλόω φωνέωXφωνή μᾶλλον θείαXθεῖος κληδών
urn:cts:greekLit:tlg5026.msA.hmt:1.1177.comment	τοῦπίσω ἀνάXἀνά-κλάω τράχηλος θύω ϊερείου προσέχω οὐρανός θεός θύω όντων οὐρανός πάλιν ἥρως κατοίχομαι ἔντομος θύω ἀποβλέπω κάτοςXκάτωXκατόω γαῖαXγῆ
urn:cts:greekLit:tlg5026.msA.hmt:1.1178.comment	ωμῶν ἱερεῖον ἀπάρχομαι κόπτω μικρόςXσμικρός μέρος ἐπιτίθημι μηρία δοκέω ὁλάωXὅλοξXὅλος μέληXμέλος ιερείου καρπόω διπλάζωXδιπλόοςXδιπλόςXδιπλῇ
