-	-	Most Frequent Occuring Words for Scholia Type	-	-
urn	name	Occurrences of Name in Scholia Type	Percentage of Name against Total Names Mentioned	Percentage of Name against Total Nummber of Words in Scholia Type
urn:cite:hmt:pers.pers446	Cayster	1	0.03%	0.0%
urn:cite:hmt:pers.pers10	Creusa	1	0.03%	0.0%
urn:cite:hmt:pers.pers38	Phoebe	1	0.03%	0.0%
urn:cite:hmt:pers.pers311	Xenophon	1	0.03%	0.0%
urn:cite:hmt:pers.pers92	Leda	1	0.03%	0.0%
urn:cite:hmt:pers.pers190	Phorcys	1	0.03%	0.0%
urn:cite:hmt:pers.pers135	Metis	1	0.03%	0.0%
urn:cite:hmt:pers.pers110	Alexander	1	0.03%	0.0%
urn:cite:hmt:pers.pers1039	Hecataeus	1	0.03%	0.0%
urn:cite:hmt:pers.pers641	Echius	1	0.03%	0.0%
urn:cite:hmt:pers.pers254	Amphiaraus	1	0.03%	0.0%
urn:cite:hmt:pers.pers540	Deiopites	1	0.03%	0.0%
urn:cite:hmt:pers.pers506	Cebriones	1	0.03%	0.0%
urn:cite:hmt:pers.pers292	Heraclids	1	0.03%	0.0%
urn:cite:hmt:pers.pers456	Arsiute	1	0.03%	0.0%
urn:cite:hmt:pers.pers986	Caletor	1	0.03%	0.0%
urn:cite:hmt:pers.pers1036	Myrrha	1	0.03%	0.0%
urn:cite:hmt:pers.pers153	Caeneus	1	0.03%	0.0%
urn:cite:hmt:pers.pers587	Euaemon	1	0.03%	0.0%
urn:cite:hmt:pers.pers1009	Orion	1	0.03%	0.0%
urn:cite:hmt:pers.pers622	"Heraclides Milesius"	1	0.03%	0.0%
urn:cite:hmt:pers.pers1025	Cratinus	1	0.03%	0.0%
urn:cite:hmt:pers.pers652	Pandion	1	0.03%	0.0%
urn:cite:hmt:pers.pers238	Tecton	1	0.03%	0.0%
urn:cite:hmt:pers.pers489	Peisander	1	0.03%	0.0%
urn:cite:hmt:pers.pers264	Hecate	1	0.03%	0.0%
urn:cite:hmt:pers.pers253	Astacus	1	0.03%	0.0%
urn:cite:hmt:pers.pers577	Apollonius	1	0.03%	0.0%
urn:cite:hmt:pers.pers301	Epaphus	1	0.03%	0.0%
urn:cite:hmt:pers.pers344	Alectryon	1	0.03%	0.0%
urn:cite:hmt:pers.pers260	Oroandes	1	0.03%	0.0%
urn:cite:hmt:pers.pers619	Styx	1	0.03%	0.0%
urn:cite:hmt:pers.pers227	Idaeus	1	0.03%	0.0%
urn:cite:hmt:pers.pers649	Alcmaon	1	0.03%	0.0%
urn:cite:hmt:pers.pers881	Othryoneus	1	0.03%	0.0%
urn:cite:hmt:pers.pers159	Talthybius	1	0.03%	0.0%
urn:cite:hmt:pers.pers167	Clio	1	0.03%	0.0%
urn:cite:hmt:pers.pers1020	Ino	1	0.03%	0.0%
urn:cite:hmt:pers.pers337	Neleids	1	0.03%	0.0%
urn:cite:hmt:pers.pers512	Asaeus	1	0.03%	0.0%
urn:cite:hmt:pers.pers36	Coeus	1	0.03%	0.0%
urn:cite:hmt:pers.pers548	Leonteus	1	0.03%	0.0%
urn:cite:hmt:pers.pers460	Amphidamas	1	0.03%	0.0%
urn:cite:hmt:pers.pers526	Tyro	1	0.03%	0.0%
urn:cite:hmt:pers.pers898	Chaos	1	0.03%	0.0%
urn:cite:hmt:pers.pers978	Pherecrates	1	0.03%	0.0%
urn:cite:hmt:pers.pers684	Sappho	1	0.03%	0.0%
urn:cite:hmt:pers.pers690	Panthous	1	0.03%	0.0%
urn:cite:hmt:pers.pers496	Coön	1	0.03%	0.0%
urn:cite:hmt:pers.pers427	Tyrannus	1	0.03%	0.0%
urn:cite:hmt:pers.pers203	Otus	1	0.03%	0.0%
urn:cite:hmt:pers.pers428	Daulieus	1	0.03%	0.0%
urn:cite:hmt:pers.pers1014	Aesyle	1	0.03%	0.0%
urn:cite:hmt:pers.pers892	Marsyas	1	0.03%	0.0%
urn:cite:hmt:pers.pers1017	Lacedaemon	1	0.03%	0.0%
urn:cite:hmt:pers.pers242	Pedaius	1	0.03%	0.0%
urn:cite:hmt:pers.pers635	Chromius	1	0.03%	0.0%
urn:cite:hmt:pers.pers330	"Quintus Smyrnaeus"	1	0.03%	0.0%
urn:cite:hmt:pers.pers58	Polemon	1	0.03%	0.0%
urn:cite:hmt:pers.pers502	Dorotheus	1	0.03%	0.0%
urn:cite:hmt:pers.pers1042	Amphidamas	1	0.03%	0.0%
urn:cite:hmt:pers.pers492	Antimachus	1	0.03%	0.0%
urn:cite:hmt:pers.pers758	Hippothous	1	0.03%	0.0%
urn:cite:hmt:pers.pers994	Dolops	1	0.03%	0.0%
urn:cite:hmt:pers.pers401	Arne	1	0.03%	0.0%
urn:cite:hmt:pers.pers830	Chamaeleon	1	0.03%	0.0%
urn:cite:hmt:pers.pers365	Iphitus	1	0.03%	0.0%
urn:cite:hmt:pers.pers561	Pylartes	1	0.03%	0.0%
urn:cite:hmt:pers.pers559	Lysander	1	0.03%	0.0%
urn:cite:hmt:pers.pers438	Macris	1	0.03%	0.0%
urn:cite:hmt:pers.pers103	Pandora	1	0.03%	0.0%
urn:cite:hmt:pers.pers416	Psamathe	1	0.03%	0.0%
urn:cite:hmt:pers.pers82	Oeonus	1	0.03%	0.0%
urn:cite:hmt:pers.pers286	Eos	1	0.03%	0.0%
urn:cite:hmt:pers.pers423	Orchomenus	1	0.03%	0.0%
urn:cite:hmt:pers.pers927	Euphranor	1	0.03%	0.0%
urn:cite:hmt:pers.pers488	Posidippus	1	0.03%	0.0%
urn:cite:hmt:pers.pers417	Pronoe	1	0.03%	0.0%
urn:cite:hmt:pers.pers376	Semiramis	1	0.03%	0.0%
urn:cite:hmt:pers.pers572	Polyhymnia	1	0.03%	0.0%
urn:cite:hmt:pers.pers1026	Hymen	1	0.03%	0.0%
urn:cite:hmt:pers.pers1052	Anacharsis	1	0.03%	0.0%
urn:cite:hmt:pers.pers51	Theopompus	1	0.03%	0.0%
urn:cite:hmt:pers.pers519	Orus	1	0.03%	0.0%
urn:cite:hmt:pers.pers431	Thessalus	1	0.03%	0.0%
urn:cite:hmt:pers.pers1041	Amphibia	1	0.03%	0.0%
urn:cite:hmt:pers.pers42	Daphne	1	0.03%	0.0%
urn:cite:hmt:pers.pers592	Alcman	1	0.03%	0.0%
urn:cite:hmt:pers.pers239	Phereclus	1	0.03%	0.0%
urn:cite:hmt:pers.pers95	Elpenor	1	0.03%	0.0%
urn:cite:hmt:pers.pers477	Hippocoon	1	0.03%	0.0%
urn:cite:hmt:pers.pers90	Dictys	1	0.03%	0.0%
urn:cite:hmt:pers.pers350	Leitus	1	0.03%	0.0%
urn:cite:hmt:pers.pers325	Hippocrates	1	0.03%	0.0%
urn:cite:hmt:pers.pers1021	Callisto	1	0.03%	0.0%
urn:cite:hmt:pers.pers162	Eteonus	1	0.03%	0.0%
urn:cite:hmt:pers.pers977	Zenodorus	1	0.03%	0.0%
urn:cite:hmt:pers.pers64	Neilus	1	0.03%	0.0%
urn:cite:hmt:pers.pers459	Ancaeus	1	0.03%	0.0%
urn:cite:hmt:pers.pers228	Stesichorus	1	0.03%	0.0%
urn:cite:hmt:pers.pers84	Comanus	1	0.03%	0.0%
urn:cite:hmt:pers.pers617	Ascalaphus	1	0.03%	0.0%
urn:cite:hmt:pers.pers246	Trophonius	1	0.03%	0.0%
urn:cite:hmt:pers.pers263	Halius	1	0.03%	0.0%
urn:cite:hmt:pers.pers1013	Dione	1	0.03%	0.0%
urn:cite:hmt:pers.pers578	Asterion	1	0.03%	0.0%
urn:cite:hmt:pers.pers538	Amphidamas	1	0.03%	0.0%
urn:cite:hmt:pers.pers268	Paean	1	0.03%	0.0%
urn:cite:hmt:pers.pers549	Iamenus	1	0.03%	0.0%
urn:cite:hmt:pers.pers1012	Eudora	1	0.03%	0.0%
urn:cite:hmt:pers.pers188	Lycurgus	1	0.03%	0.0%
urn:cite:hmt:pers.pers437	Euboea	1	0.03%	0.0%
urn:cite:hmt:pers.pers257	Aethre	1	0.03%	0.0%
urn:cite:hmt:pers.pers196	Zethus	1	0.03%	0.0%
urn:cite:hmt:pers.pers140	Lycaon	1	0.03%	0.0%
urn:cite:hmt:pers.pers252	Melanippus	1	0.03%	0.0%
urn:cite:hmt:pers.pers888	Macedon	1	0.03%	0.0%
urn:cite:hmt:pers.pers1001	Stesimbrotos	1	0.03%	0.0%
urn:cite:hmt:pers.pers1030	Androgeon	1	0.03%	0.0%
urn:cite:hmt:pers.pers564	Calliope	1	0.03%	0.0%
urn:cite:hmt:pers.pers259	Polydius	1	0.03%	0.0%
urn:cite:hmt:pers.pers46	Tantalus	1	0.03%	0.0%
urn:cite:hmt:pers.pers996	Agathocles	1	0.03%	0.0%
urn:cite:hmt:pers.pers595	Menecrates	1	0.03%	0.0%
urn:cite:hmt:pers.pers235	Anius	1	0.03%	0.0%
urn:cite:hmt:pers.pers380	Elephenor	1	0.03%	0.0%
urn:cite:hmt:pers.pers285	Tlepolemus	1	0.03%	0.0%
urn:cite:hmt:pers.pers364	Perimedes	1	0.03%	0.0%
urn:cite:hmt:pers.pers923	Elektryon	1	0.03%	0.0%
urn:cite:hmt:pers.pers379	Chalcodon	1	0.03%	0.0%
urn:cite:hmt:pers.pers415	Pylaemenes	1	0.03%	0.0%
urn:cite:hmt:pers.pers1018	Lycos	1	0.03%	0.0%
urn:cite:hmt:pers.pers72	Auge	1	0.03%	0.0%
urn:cite:hmt:pers.pers907	Krios	1	0.03%	0.0%
urn:cite:hmt:pers.pers109	Lycophron	1	0.03%	0.0%
urn:cite:hmt:pers.pers426	Asterodia	1	0.03%	0.0%
urn:cite:hmt:pers.pers891	Amathus	1	0.03%	0.0%
urn:cite:hmt:pers.pers560	Pyrasus	1	0.03%	0.0%
urn:cite:hmt:pers.pers571	Melpomene	1	0.03%	0.0%
urn:cite:hmt:pers.pers223	Dares	1	0.03%	0.0%
urn:cite:hmt:pers.pers657	Archilochus	1	0.03%	0.0%
urn:cite:hmt:pers.pers9	Xuthus	1	0.03%	0.0%
urn:cite:hmt:pers.pers68	Ellanor	1	0.03%	0.0%
urn:cite:hmt:pers.pers668	Aian	1	0.03%	0.0%
urn:cite:hmt:pers.pers182	Orus	1	0.03%	0.0%
urn:cite:hmt:pers.pers207	Theagenes	1	0.03%	0.0%
urn:cite:hmt:pers.pers218	Alcimedon	1	0.03%	0.0%
urn:cite:hmt:pers.pers618	Medusa	1	0.03%	0.0%
urn:cite:hmt:pers.pers510	Archelochus	1	0.03%	0.0%
urn:cite:hmt:pers.pers1043	Sthenelus	1	0.03%	0.0%
urn:cite:hmt:pers.pers1051	Plutarch	1	0.03%	0.0%
urn:cite:hmt:pers.pers20	Stasinus	1	0.03%	0.0%
urn:cite:hmt:pers.pers719	Glaucus	1	0.03%	0.0%
urn:cite:hmt:pers.pers160	Eurybates	1	0.03%	0.0%
urn:cite:hmt:pers.pers57	Ordes	1	0.03%	0.0%
urn:cite:hmt:pers.pers997	Heraclitus	1	0.03%	0.0%
urn:cite:hmt:pers.pers557	Doryclus	1	0.03%	0.0%
urn:cite:hmt:pers.pers191	Callistratus	1	0.03%	0.0%
urn:cite:hmt:pers.pers324	Conon	1	0.03%	0.0%
urn:cite:hmt:pers.pers1016	Aithra	1	0.03%	0.0%
urn:cite:hmt:pers.pers245	Abron	1	0.03%	0.0%
urn:cite:hmt:pers.pers654	Cinyras	1	0.03%	0.0%
urn:cite:hmt:pers.pers63	Anchinoe	1	0.03%	0.0%
urn:cite:hmt:pers.pers121	Inachus	1	0.03%	0.0%
urn:cite:hmt:pers.pers469	Phyleus	1	0.03%	0.0%
urn:cite:hmt:pers.pers991	Chaeris	1	0.03%	0.0%
urn:cite:hmt:pers.pers143	Hecamede	1	0.03%	0.0%
urn:cite:hmt:pers.pers528	Enipeus	1	0.03%	0.0%
urn:cite:hmt:pers.pers579	Bacchylides	1	0.03%	0.0%
urn:cite:hmt:pers.pers176	Posidonius	1	0.03%	0.0%
urn:cite:hmt:pers.pers458	Arcas	1	0.03%	0.0%
urn:cite:hmt:pers.pers896	Herodotus	1	0.03%	0.0%
urn:cite:hmt:pers.pers41	Ladon	1	0.03%	0.0%
urn:cite:hmt:pers.pers329	Xenophanes	1	0.03%	0.0%
urn:cite:hmt:pers.pers346	Clonius	1	0.03%	0.0%
urn:cite:hmt:pers.pers831	Pronome	1	0.03%	0.0%
urn:cite:hmt:pers.pers647	Epicles	1	0.03%	0.0%
urn:cite:hmt:pers.pers1050	Proteas	1	0.03%	0.0%
urn:cite:hmt:pers.pers1022	Lycaon	1	0.03%	0.0%
urn:cite:hmt:pers.pers1011	Koronis	1	0.03%	0.0%
urn:cite:hmt:pers.pers34	Electra	1	0.03%	0.0%
urn:cite:hmt:pers.pers425	Crisus	1	0.03%	0.0%
urn:cite:hmt:pers.pers411	Philammon	1	0.03%	0.0%
urn:cite:hmt:pers.pers655	Pius	1	0.03%	0.0%
urn:cite:hmt:pers.pers60	Agenor	1	0.03%	0.0%
urn:cite:hmt:pers.pers370	Cyparissus	1	0.03%	0.0%
urn:cite:hmt:pers.pers632	Ormenus	1	0.03%	0.0%
urn:cite:hmt:pers.pers318	Cocalus	1	0.03%	0.0%
urn:cite:hmt:pers.pers342	Solon	1	0.03%	0.0%
urn:cite:hmt:pers.pers414	Agapenor	1	0.03%	0.0%
urn:cite:hmt:pers.pers686	Helicaon	1	0.03%	0.0%
urn:cite:hmt:pers.pers1023	Agallis	1	0.03%	0.0%
urn:cite:hmt:pers.pers408	Pelagon	1	0.03%	0.0%
urn:cite:hmt:pers.pers653	Agenor	1	0.03%	0.0%
urn:cite:hmt:pers.pers820	Pylaemenes	1	0.03%	0.0%
urn:cite:hmt:pers.pers332	Alexis	1	0.03%	0.0%
urn:cite:hmt:pers.pers500	Hippodamia	1	0.03%	0.0%
urn:cite:hmt:pers.pers889	Aithria	1	0.03%	0.0%
urn:cite:hmt:pers.pers1029	Thales	1	0.03%	0.0%
urn:cite:hmt:pers.pers682	Chromius	1	0.03%	0.0%
urn:cite:hmt:pers.pers197	Amphion	1	0.03%	0.0%
urn:cite:hmt:pers.pers419	Deion/Deioneus	1	0.03%	0.0%
urn:cite:hmt:pers.pers155	Phlegyas	1	0.03%	0.0%
urn:cite:hmt:pers.pers321	Philemon	1	0.03%	0.0%
urn:cite:hmt:pers.pers183	Theophrastus	1	0.03%	0.0%
urn:cite:hmt:pers.pers206	Dryops	1	0.03%	0.0%
urn:cite:hmt:pers.pers890	Pierus	1	0.03%	0.0%
urn:cite:hmt:pers.pers895	Xerxes	1	0.03%	0.0%
urn:cite:hmt:pers.pers128	Centauros	1	0.03%	0.0%
urn:cite:hmt:pers.pers466	Thalpius	1	0.03%	0.0%
urn:cite:hmt:pers.pers623	Alcaeus	1	0.03%	0.0%
urn:cite:hmt:pers.pers382	Megapenthes	1	0.03%	0.0%
urn:cite:hmt:pers.pers266	Stentor	1	0.03%	0.0%
urn:cite:hmt:pers.pers202	Ephialtes	1	0.03%	0.0%
urn:cite:hmt:pers.pers1024	Alirrothios	1	0.03%	0.0%
urn:cite:hmt:pers.pers150	Oileus	1	0.03%	0.0%
