urn,name
"urn:cite:hmt:pers.pers1", "Achilles"
"urn:cite:hmt:pers.pers8", "Zeus"
"urn:cite:hmt:pers.pers119", "Menelaus"
"urn:cite:hmt:pers.pers172", "Hector"
"urn:cite:hmt:pers.pers118", "Odysseus"
"urn:cite:hmt:pers.pers158", "Patroclus"
"urn:cite:hmt:pers.pers145", "Priam"
