Scholia Type,Number of Distinct Names,Frequency of Names as Words,Ratio of Distinct Names to Total Name Appearances,Total Words in Type,Ratio of Name Appearacne to Total Words
Main,635,3951,16.07%,135007.0,2.93%
Intermarginal,59,401,14.71%,135007,0.3%
Interior,80,236,33.9%,135007,0.17%
Interlinear,37,56,66.07%,135007,0.04%
Exterior,13,27,48.15%,135007,0.02%
