Iliad Line,Label,First Scholion,Second Scholion
urn:cts:greekLit:tlg0012.tlg001.msA:1.301,ImIl,urn:cts:greekLit:tlg5026.msAil.hmt:1.834,urn:cts:greekLit:tlg5026.msAim.hmt:1.807
urn:cts:greekLit:tlg0012.tlg001.msA:1.307,MainIl,urn:cts:greekLit:tlg5026.msA.hmt:1.864,urn:cts:greekLit:tlg5026.msAil.hmt:1.884
urn:cts:greekLit:tlg0012.tlg001.msA:1.312,MainIl,urn:cts:greekLit:tlg5026.msA.hmt:1.865,urn:cts:greekLit:tlg5026.msAil.hmt:1.890
urn:cts:greekLit:tlg0012.tlg001.msA:1.32,ImIl,urn:cts:greekLit:tlg5026.msAil.hmt:1.279,urn:cts:greekLit:tlg5026.msAim.hmt:1.47
urn:cts:greekLit:tlg0012.tlg001.msA:1.321,MainIl,urn:cts:greekLit:tlg5026.msA.hmt:1.869,urn:cts:greekLit:tlg5026.msAil.hmt:1.896
urn:cts:greekLit:tlg0012.tlg001.msA:1.323,MainIl,urn:cts:greekLit:tlg5026.msA.hmt:1.871,urn:cts:greekLit:tlg5026.msAil.hmt:1.897
urn:cts:greekLit:tlg0012.tlg001.msA:1.325,ImIl,urn:cts:greekLit:tlg5026.msAil.hmt:1.898,urn:cts:greekLit:tlg5026.msAim.hmt:1.876
urn:cts:greekLit:tlg0012.tlg001.msA:1.330,MainIl,urn:cts:greekLit:tlg5026.msA.hmt:1.928,urn:cts:greekLit:tlg5026.msAil.hmt:1.946
urn:cts:greekLit:tlg0012.tlg001.msA:1.336,MainIl,urn:cts:greekLit:tlg5026.msA.hmt:1.933,urn:cts:greekLit:tlg5026.msAil.hmt:1.954
urn:cts:greekLit:tlg0012.tlg001.msA:1.341,ImIl,urn:cts:greekLit:tlg5026.msAil.hmt:1.959,urn:cts:greekLit:tlg5026.msAim.hmt:1.940
urn:cts:greekLit:tlg0012.tlg001.msA:1.349,MainIl,urn:cts:greekLit:tlg5026.msA.hmt:1.938,urn:cts:greekLit:tlg5026.msAil.hmt:1.967
urn:cts:greekLit:tlg0012.tlg001.msA:1.356,IntIl,urn:cts:greekLit:tlg5026.msAil.hmt:1.1009,urn:cts:greekLit:tlg5026.msAint.hmt:1.1002
urn:cts:greekLit:tlg0012.tlg001.msA:1.358,MainIl,urn:cts:greekLit:tlg5026.msA.hmt:1.991,urn:cts:greekLit:tlg5026.msAil.hmt:1.1010
urn:cts:greekLit:tlg0012.tlg001.msA:1.36,ImIl,urn:cts:greekLit:tlg5026.msAil.hmt:1.284,urn:cts:greekLit:tlg5026.msAim.hmt:1.49
urn:cts:greekLit:tlg0012.tlg001.msA:1.361,MainIl,urn:cts:greekLit:tlg5026.msA.hmt:1.992,urn:cts:greekLit:tlg5026.msAil.hmt:1.1013
urn:cts:greekLit:tlg0012.tlg001.msA:1.368,MainIl,urn:cts:greekLit:tlg5026.msA.hmt:1.998,urn:cts:greekLit:tlg5026.msAil.hmt:1.1024
urn:cts:greekLit:tlg0012.tlg001.msA:1.383,MainIl,urn:cts:greekLit:tlg5026.msA.hmt:1.1032,urn:cts:greekLit:tlg5026.msAil.hmt:1.1044
urn:cts:greekLit:tlg0012.tlg001.msA:1.392,MainIl,urn:cts:greekLit:tlg5026.msA.hmt:1.1034,urn:cts:greekLit:tlg5026.msAil.hmt:1.1045
urn:cts:greekLit:tlg0012.tlg001.msA:1.4,MainIl,urn:cts:greekLit:tlg5026.msA.hmt:1.8,urn:cts:greekLit:tlg5026.msAil.hmt:1.324
urn:cts:greekLit:tlg0012.tlg001.msA:1.404,MainIm,urn:cts:greekLit:tlg5026.msA.hmt:1.1060,urn:cts:greekLit:tlg5026.msAim.hmt:1.1072
urn:cts:greekLit:tlg0012.tlg001.msA:1.412,ImIl,urn:cts:greekLit:tlg5026.msAil.hmt:1.1084,urn:cts:greekLit:tlg5026.msAim.hmt:1.1073
urn:cts:greekLit:tlg0012.tlg001.msA:1.418,MainIl,urn:cts:greekLit:tlg5026.msA.hmt:1.1064,urn:cts:greekLit:tlg5026.msAil.hmt:1.1092
urn:cts:greekLit:tlg0012.tlg001.msA:1.421-1.422,MainInt,urn:cts:greekLit:tlg5026.msA.hmt:1.1068,urn:cts:greekLit:tlg5026.msAint.hmt:1.1077
urn:cts:greekLit:tlg0012.tlg001.msA:1.436,MainIl,urn:cts:greekLit:tlg5026.msA.hmt:1.1124,urn:cts:greekLit:tlg5026.msAil.hmt:1.1145
urn:cts:greekLit:tlg0012.tlg001.msA:1.44,IntIl,urn:cts:greekLit:tlg5026.msAil.hmt:1.292,urn:cts:greekLit:tlg5026.msAint.hmt:1.58
urn:cts:greekLit:tlg0012.tlg001.msA:1.444,IntIl,urn:cts:greekLit:tlg5026.msAil.hmt:1.1146,urn:cts:greekLit:tlg5026.msAint.hmt:1.1137
urn:cts:greekLit:tlg0012.tlg001.msA:1.447,MainIl,urn:cts:greekLit:tlg5026.msA.hmt:1.1129,urn:cts:greekLit:tlg5026.msAil.hmt:1.1147
urn:cts:greekLit:tlg0012.tlg001.msA:1.454,ImIl,urn:cts:greekLit:tlg5026.msAil.hmt:1.1191,urn:cts:greekLit:tlg5026.msAim.hmt:1.1188
urn:cts:greekLit:tlg0012.tlg001.msA:1.470,MainInt,urn:cts:greekLit:tlg5026.msA.hmt:1.1184,urn:cts:greekLit:tlg5026.msAint.hmt:1.1190
urn:cts:greekLit:tlg0012.tlg001.msA:1.473,MainIl,urn:cts:greekLit:tlg5026.msA.hmt:1.1186,urn:cts:greekLit:tlg5026.msAil.hmt:1.1201
urn:cts:greekLit:tlg0012.tlg001.msA:1.482,MainIl,urn:cts:greekLit:tlg5026.msA.hmt:1.1228,urn:cts:greekLit:tlg5026.msAil.hmt:1.1245
urn:cts:greekLit:tlg0012.tlg001.msA:1.49,IntIl,urn:cts:greekLit:tlg5026.msAil.hmt:1.295,urn:cts:greekLit:tlg5026.msAint.hmt:1.59
urn:cts:greekLit:tlg0012.tlg001.msA:1.492,IntIl,urn:cts:greekLit:tlg5026.msAil.hmt:1.1252,urn:cts:greekLit:tlg5026.msAint.hmt:1.1239
urn:cts:greekLit:tlg0012.tlg001.msA:1.496,MainIl,urn:cts:greekLit:tlg5026.msA.hmt:1.1234,urn:cts:greekLit:tlg5026.msAil.hmt:1.1255
urn:cts:greekLit:tlg0012.tlg001.msA:1.5,MainIl,urn:cts:greekLit:tlg5026.msA.hmt:1.9,urn:cts:greekLit:tlg5026.msAil.hmt:1.325
urn:cts:greekLit:tlg0012.tlg001.msA:1.508,MainIl,urn:cts:greekLit:tlg5026.msA.hmt:1.1279,urn:cts:greekLit:tlg5026.msAil.hmt:1.1296
urn:cts:greekLit:tlg0012.tlg001.msA:1.512,MainIl,urn:cts:greekLit:tlg5026.msA.hmt:1.1280,urn:cts:greekLit:tlg5026.msAil.hmt:1.1298
