Line Number	Scholia Being Compared and percentage of Words from the Small Schol in the Longer Schol
urn:cts:greekLit:tlg0012.tlg001.msA:1.542	msAim.hmt:1.1348 (5) vs msAil.hmt:1.1363 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.542	msAint.hmt:1.1349 (12) vs msAil.hmt:1.1363 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.542	msAint.hmt:1.1349 (12) vs msAim.hmt:1.1348 (5): 1.0 (20.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.591	msA.hmt:1.1443 (29) vs msA.hmt:1.1444 (21): 6.0 (28.57%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.591	msA.hmt:1.1445 (102) vs msA.hmt:1.1443 (29): 11.0 (37.93%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.591	msA.hmt:1.1443 (29) vs msAil.hmt:1.1466 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.591	msA.hmt:1.1443 (29) vs msAil.hmt:1.1467 (4): 1.0 (25.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.591	msA.hmt:1.1445 (102) vs msA.hmt:1.1444 (21): 5.0 (23.81%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.591	msA.hmt:1.1444 (21) vs msAil.hmt:1.1466 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.591	msA.hmt:1.1444 (21) vs msAil.hmt:1.1467 (4): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.591	msA.hmt:1.1445 (102) vs msAil.hmt:1.1466 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.591	msA.hmt:1.1445 (102) vs msAil.hmt:1.1467 (4): 1.0 (25.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:1.591	msAil.hmt:1.1467 (4) vs msAil.hmt:1.1466 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:17.105	msA.hmt:17.44 (13) vs msA.hmt:17.45 (12): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:17.105	msA.hmt:17.46 (18) vs msA.hmt:17.44 (13): 3.0 (23.08%)
